UserID,Name,Age,Gender,Profession,Yearly Income,Property Owner,Physical Activity,Gaming Devices,Video Game Genre,Gaming Motivation,Hours Played Daily,Monthly Gaming Purchases,Hours Sleep Daily,Mental Wellness Score,Importance Score,Productivity Loss,Satisfaction,Self Control,Addiction Level
10001,Jessica Brown,28,Female,Manager,"$144,351 ",No,Yes,PlayStation,MMORPG,Challenge,1,33,11,31,30,9,74,19,95
10002,Michael Smith,33,Male,Lawyer,"$175,292 ",Yes,Yes,Nintendo,Strategy,Social Interaction,5,826,4,55,10,92,58,72,36
10003,Emily Johnson,26,Female,Other,"$16,762 ",Yes,Yes,PlayStation,Racing,Competition,4,624,7,71,37,80,61,93,61
10004,Matthew Williams,22,Other,Developer,"$189,424 ",No,No,Cell Phone,Horror,Competition,10,172,11,1,84,29,6,96,64
10005,Olivia jones,24,Female,Developer,"$1,310 ",Yes,No,PC,Survival,Relaxation,5,986,11,54,34,63,81,12,63
10007,Ava Davis,24,Female,Lawyer,"$77,275 ",No,No,Nintendo,Sports,Social Interaction,8,346,4,86,41,13,82,57,36
10008,Christopher Garcia,30,Male,Lawyer,"$154,140 ",No,Yes,PlayStation,FPS,Relaxation,6,732,6,34,2,52,33,81,6
10009,Isabella Martinez,26,Female,Student,"$124,016 ",No,No,Nintendo,Survival,Habit,3,876,7,50,38,59,49,63,11
10011,Sophia Hernandez,31,Female,Doctor,"$109,035 ",Yes,Yes,Cell Phone,RPG,Competition,11,612,4,11,21,13,73,29,34
10012,Benjamin Lee,20,Other,Other,"$195,264 ",Yes,Yes,Nintendo,FPS,Loneliness,11,528,8,39,33,80,73,95,73
10013,Mia Gonzalez,32,Female,Writer,"$81,636 ",No,Yes,Nintendo,Survival,Relaxation,8,139,6,97,14,95,38,66,58
10015,Charlotte  Wilson,31,Female,Student,"$17,774 ",No,Yes,Cell Phone,Strategy,Habit,2,38,11,17,56,97,9,84,71
10016,Lucas Anderson,19,Male,Other,"$132,625 ",No,No,Tablet,Strategy,Challenge,10,283,4,53,70,76,61,27,38
10017,Amelia Thomas,31,Female,Developer,"$170,467 ",No,Yes,Nintendo,Survival,Competition,9,345,8,87,27,52,50,79,71
10019,Harper Martin,20,Female,Artist,"$126,644 ",No,No,PC,Fighting,Escapism,6,863,8,85,54,86,22,10,9
10020,Mason Jackson,21,Male,Developer,"$184,963 ",No,Yes,Cell Phone,Strategy,Relaxation,8,430,6,54,64,65,11,73,42
10021,Evelyn Thompson,31,Female,Other,"$40,431 ",No,Yes,Tablet,Sports,Habit,6,782,11,80,22,51,88,89,52
10022,Logan White,29,Male,Student,"$61,399 ",No,Yes,Cell Phone,Horror,Habit,1,275,6,83,4,2,96,36,62
10023,Jacky Smith,26,Female,Nurse,"$50,425 ",No,Yes,PlayStation,Survival,Entertainment,1,784,6,32,76,78,23,86,23
10024,Ella  Harris,22,Female,Nurse,"$136,631 ",Yes,Yes,Cell Phone,Racing,Relaxation,3,824,9,34,85,44,85,68,22
10025,Alexander Clark,34,Male,Nurse,"$83,529 ",Yes,Yes,PlayStation,Horror,Competition,6,595,6,75,50,28,96,45,20
10026,Grace  Lewis ,25,Other,Artist,"$125,554 ",No,No,Cell Phone,MOBA,Entertainment,5,148,11,40,34,52,86,53,27
10027,Ethan Robinson,26,Other,Doctor,"$146,328 ",No,Yes,Nintendo,Fighting,Challenge,9,139,8,2,6,73,88,13,65
10028,Chloe Walker,21,Female,Manager,"$7,191 ",No,Yes,Xbox,MOBA,Loneliness,2,636,5,37,15,34,13,94,47
10029,Jacob Hall,24,Other,Designer,"$68,992 ",Yes,Yes,Tablet,Horror,Competition,6,731,7,87,19,96,77,28,74
10030,Lily  Alien,26,Other,Artist,"$115,067 ",Yes,No,PlayStation,Horror,Habit,1,517,9,99,11,21,21,53,14
10031,Aiden Young,18,Male,Designer,"$19,973 ",Yes,No,PC,Racing,Entertainment,11,302,7,49,21,85,94,88,35
10032,Scarlett King,22,Female,Manager,"$172,889 ",No,Yes,PlayStation,Racing,Habit,11,591,9,67,50,16,26,79,10
10033,Jackson Wright,26,Male,Teacher,"$115,495 ",No,Yes,Nintendo,Strategy,Challenge,4,249,5,81,10,41,23,67,17
10034,Aria Hill,33,Female,Doctor,"$76,966 ",Yes,Yes,Nintendo,Survival,Social Interaction,10,164,11,33,21,24,95,55,79
10035,Samuel Scott,25,Male,Student,"$115,652 ",No,No,Tablet,FPS,Entertainment,4,531,5,66,4,85,15,45,16
10036,Zoey Green,19,Female,Designer,"$62,680 ",Yes,No,Nintendo,Strategy,Competition,4,747,6,44,90,69,13,51,82
10037,Carter Adams,21,Male,Doctor,"$164,214 ",Yes,Yes,PlayStation,Strategy,Habit,1,39,5,96,15,42,47,40,34
10038,Penelope Baker,30,Female,Doctor,"$58,932 ",Yes,No,Cell Phone,RPG,Boredom,7,881,7,88,8,38,39,45,37
10039,Anthony Gonzalez,26,Male,Writer,"$191,959 ",No,Yes,Tablet,RPG,Stress Relief,6,351,5,85,83,96,7,52,43
10040,Riley Nelson,30,Female,Writer,"$62,250 ",Yes,No,PC,FPS,Loneliness,4,254,10,67,37,16,51,8,94
10041,Jack Carter,31,Male,Student,"$154,363 ",No,Yes,Cell Phone,MMORPG,Escapism,1,721,9,85,67,98,55,22,21
10042,Avery Mitchell,31,Female,Designer,"$153,250 ",Yes,No,PlayStation,Sports,Habit,8,68,9,8,20,62,18,61,62
10043,Dylan Perez,32,Male,Writer,"$75,493 ",Yes,No,Nintendo,FPS,Relaxation,4,659,9,4,42,44,7,15,74
10044,Sofia Robinson,28,Female,Lawyer,"$189,354 ",No,Yes,Tablet,MMORPG,Loneliness,9,461,10,24,84,7,34,32,6
10045,Caleb Turner,30,Other,Artist,"$136,757 ",No,No,Xbox,MOBA,Challenge,2,250,5,13,84,24,43,19,85
10046,Aubrey Phillips,23,Male,Other,"$34,001 ",Yes,No,PlayStation,Horror,Stress Relief,10,584,11,65,42,44,85,89,67
